Text,Label
I am near warm water,Cyclone
near tropical area with high winds,Cyclone
there is a circular wind,Cyclone
seems to resemble a hurricane,Cyclone
resembles a typhoon,Cyclone
fast winds,Cyclone
thunderstorm over tropical waters,Cyclone
rotating storm,Cyclone
storm is in a low atmospheric pressure area,Cyclone
I see smoke and dust,Wildfire
I see flames,Wildfire
I see smoke in the trees,Wildfire 
there's water everywhere,Flood
excessive rain,Flood
excessive precipitation,Flood
rain,Flood
roads are overflowing with water,Flood
precipitation,Flood
fog,Wildfire
floor is shaking,Earthquake
I feel vibrations,Earthquake
shaking and rumbling,Earthquake
I am stumbling,Earthquake
Unstable floor,Earthquake
I see fire,Wildfire
looks like a tornado,Cyclone
hurricane winds,Cyclone
overflowing water in river,Flood
I see black smoke,Wildfire
Fire is spreading,Wildfire 
ground is shaking,Earthquake
Tree just blew down from wind,Cyclone
Ground is shaking causing destruction,Earthquake
cars are underwater,Flood
objects are burning,Wildfire 
numerous of trees are burned down,Wildfire
trees are knocked down,Cyclone
Tree just fell down very violently,Cyclone
gray skies,Wildfire 
Water is moving fast,Flood
shaking,Earthquake
rumbling,Earthquake
shaking sounds,Earthquake
ground moving,Earthquake
lots of water,Flood
overflow of water,Flood
heavy rain,Flood